年月日,曜日,平均気温(℃),最高気温(℃),最低気温(℃),エリア
2025年7月22日,火,29.5,34.3,26,東京
2025年7月23日,水,29.4,34.3,25.9,東京
2025年7月24日,木,29.8,34.8,25.5,東京
2025年7月25日,金,30.2,35.1,26.1,東京
2025年7月26日,土,30.3,35.5,26.7,東京
2025年7月27日,日,29.4,34.1,26.3,東京
2025年7月28日,月,30.1,35.4,25.4,東京
2025年7月29日,火,30,36.4,25,東京
2025年7月30日,水,29.2,34.8,25.4,東京
2025年7月31日,木,27.9,33.4,24.7,東京
2025年8月1日,金,26.4,30.1,23.8,東京
2025年8月2日,土,28.9,35.1,24.9,東京
2025年8月3日,日,30.4,36.1,26.2,東京
2025年8月4日,月,31.3,36.1,27.7,東京
2025年8月5日,火,32.1,36.6,28.3,東京
2025年8月6日,水,32.3,37,28.1,東京
2025年8月7日,木,29.5,32.8,27.3,東京
2025年8月8日,金,28.6,35,24.5,東京
2025年8月9日,土,28.4,32.6,25,東京
2025年8月10日,日,26.3,27.7,24.5,東京
2025年8月11日,月,27.1,29.3,25.6,東京
2025年8月12日,火,28.2,31.1,26.1,東京
2025年8月13日,水,27.9,31.4,25.3,東京
2025年8月14日,木,27.8,32.5,24.7,東京
2025年8月15日,金,28.7,33.6,24.7,東京
2025年8月16日,土,28.8,33.2,26.7,東京
2025年8月17日,日,29.8,34.8,26.6,東京
2025年8月18日,月,31,37,26.7,東京
2025年8月19日,火,29.9,35,26.5,東京
2025年8月20日,水,30.4,35.1,26.3,東京
2025年8月21日,木,31.3,36.8,27.2,東京
2025年8月22日,金,30.3,35.2,27.3,東京
2025年8月23日,土,30.4,35.8,26.7,東京
2025年8月24日,日,31.3,37.3,27,東京
2025年8月25日,月,30.6,36.3,27.6,東京
2025年8月26日,火,30.1,35.1,26.9,東京
2025年8月27日,水,30.7,36,26.8,東京
2025年8月28日,木,28.9,33.9,25.6,東京
2025年8月29日,金,28.7,34.1,24.9,東京
2025年8月30日,土,31.6,38.5,26.7,東京
2025年8月31日,日,30.9,36.8,27.3,東京
2025年9月1日,月,30.4,36.4,27.1,東京
2025年9月2日,火,31.2,37,27.4,東京
2025年9月3日,水,30.3,37,25.5,東京
2025年9月4日,木,26.8,28.7,25.1,東京
2025年9月5日,金,24.7,26.7,23.3,東京
2025年9月6日,土,27.1,32.5,22,東京
2025年9月7日,日,27.4,31.7,24.8,東京
2025年9月8日,月,29.6,35,24.8,東京
2025年9月9日,火,29.3,33.4,27,東京
2025年9月10日,水,28.3,31.6,26.5,東京
2025年9月11日,木,27.2,34.4,23.7,東京
2025年9月12日,金,24.7,27.6,22.7,東京
2025年9月13日,土,26.3,30.2,23.2,東京
2025年9月14日,日,28.6,32.1,26.6,東京
2025年9月15日,月,27.4,30.5,25.3,東京
2025年9月16日,火,28.5,33.3,26,東京
2025年9月17日,水,29.2,34.3,25.2,東京
2025年9月18日,木,28.3,34.1,23.4,東京
2025年9月19日,金,22.4,26.3,18.6,東京
2025年9月20日,土,23.8,27.2,20.6,東京
2025年9月21日,日,25.7,31.1,18.6,東京
2025年9月22日,月,21.9,26.8,18.1,東京
2025年9月23日,火,22,26.2,18.8,東京
2025年9月24日,水,22.5,27.5,17.9,東京
2025年9月25日,木,23.8,28.9,19,東京
2025年9月26日,金,26.3,31.7,21.4,東京
2025年9月27日,土,24.6,28.1,22,東京
2025年9月28日,日,24.8,28.8,20.3,東京
2025年9月29日,月,27,30.9,23.8,東京
2025年9月30日,火,24.3,28.4,22.3,東京
2025年10月1日,水,20.5,23.6,18.3,東京
2025年10月2日,木,22,27.5,17.3,東京
2025年10月3日,金,22.8,26.3,19.3,東京
2025年10月4日,土,21.4,25.1,20.3,東京
2025年10月5日,日,23.7,28.8,19.3,東京
2025年10月6日,月,24.3,29.3,21.7,東京
2025年10月7日,火,21.8,25,20,東京
2025年10月8日,水,23.7,28.4,19.6,東京
2025年10月9日,木,21.3,24.6,17.7,東京
2025年10月10日,金,20.2,24.7,17.2,東京
2025年10月11日,土,17.6,20.5,15.9,東京
2025年10月12日,日,19.9,23.8,15.9,東京
2025年10月13日,月,21.4,25.2,18.7,東京
2025年10月14日,火,18.9,21.3,15.7,東京
2025年10月15日,水,17.5,20.3,15.2,東京
2025年10月16日,木,18.1,20.7,15.8,東京
2025年10月17日,金,19.8,25.1,16.3,東京
2025年10月18日,土,21,25.9,15.5,東京
2025年10月19日,日,20.1,24.5,15.8,東京
2025年10月20日,月,17.2,19.7,15.1,東京
2025年10月21日,火,15.6,17.2,13.9,東京
2025年10月22日,水,12.3,15.4,10.4,東京
2025年10月23日,木,14.3,17.9,11.5,東京
2025年10月24日,金,13.6,16.9,12,東京
2025年10月25日,土,12.8,13.6,12,東京
2025年10月26日,日,15.1,16.3,13.4,東京
2025年10月27日,月,18,23.9,14.6,東京
2025年10月28日,火,16.5,21.4,13.7,東京
2025年10月29日,水,14,16.8,12,東京
2025年10月30日,木,14.3,19.1,9.7,東京
2025年10月31日,金,14.5,17.1,12.7,東京
2025年11月1日,土,16.3,21.7,12.4,東京
2025年11月2日,日,15.2,19.1,12,東京
2025年11月3日,月,14,19.4,10.6,東京
2025年11月4日,火,12.6,17.5,8.2,東京
2025年11月5日,水,12.9,15.9,9,東京
2025年11月6日,木,15.1,19.2,11,東京
2025年11月7日,金,15.7,21.7,10.4,東京
2025年11月8日,土,14.1,17.5,11.4,東京
2025年11月9日,日,12,13.7,10,東京
2025年11月10日,月,13.9,20.7,10.3,東京
2025年11月11日,火,12.7,15.8,9.7,東京
2025年11月12日,水,11.7,14.7,8.1,東京
2025年11月13日,木,11.1,13.1,9.4,東京
2025年11月14日,金,14.2,20.2,8,東京
2025年11月15日,土,14.1,18.3,11.6,東京
2025年11月16日,日,13.3,17.9,9.5,東京
2025年11月17日,月,16,22.4,9.8,東京
2025年11月18日,火,12.5,16.3,7,東京
2025年11月19日,水,9.2,14.3,5.1,東京
2025年11月20日,木,9.8,14.8,7.2,東京
2025年11月21日,金,10.7,17.3,5.1,東京
2025年11月22日,土,12.4,17.2,7.4,東京
2025年11月23日,日,12.1,15.6,10.3,東京
2025年11月24日,月,12.4,18.8,7.6,東京
2025年11月25日,火,10.4,12.6,8,東京
2025年11月26日,水,12.1,18.6,6.2,東京
2025年11月27日,木,11.9,16.2,7.3,東京
2025年11月28日,金,14,19.8,8.4,東京
2025年11月29日,土,11.6,15.3,9,東京
2025年11月30日,日,10.9,16.3,7.1,東京
2025年12月1日,月,13.3,20,6.4,東京
2025年12月2日,火,13.5,18,9.5,東京
2025年12月3日,水,11.2,12.8,8.3,東京
2025年12月4日,木,7.1,10.7,4,東京
2025年12月5日,金,7,12,1.2,東京
2025年12月6日,土,7,11.5,2.6,東京
2025年12月7日,日,8.5,15.9,2.5,東京
2025年12月8日,月,11.2,17.6,4.2,東京
2025年12月9日,火,10.1,14.3,6.7,東京
2025年12月10日,水,8.8,14.3,4,東京
2025年12月11日,木,10.4,15.5,5.5,東京
2025年12月12日,金,7.2,10.9,3.9,東京
2025年12月13日,土,5.7,8.9,2.9,東京
2025年12月14日,日,4.8,7.6,2.7,東京
2025年12月15日,月,8.4,13.2,3.9,東京
2025年12月16日,火,8,12.5,3.3,東京
2025年12月17日,水,8.8,14.1,3.5,東京
2025年12月18日,木,9.4,13.2,5.7,東京
2025年12月19日,金,7.4,12.1,2.8,東京
2025年12月20日,土,8.5,12,4.7,東京
2025年12月21日,日,12.3,18.4,8.3,東京
2025年12月22日,月,9.6,12.7,4.6,東京
2025年12月23日,火,6.4,9.8,2.4,東京
2025年12月24日,水,6.9,8.4,4.9,東京
2025年12月25日,木,9.6,11.9,7.1,東京
2025年12月26日,金,7.3,11.3,2.4,東京
2025年12月27日,土,3.3,6.4,1.7,東京
2025年12月28日,日,5.4,12,-0.3,東京
2025年12月29日,月,7.1,12.5,3.4,東京
2025年12月30日,火,8.7,15.3,2.8,東京
2025年12月31日,水,8,13.3,3.9,東京
2026年1月1日,木,6.5,10.3,3.8,東京
2026年1月2日,金,4.8,10,0.5,東京
2026年1月3日,土,3.7,8.9,-0.5,東京
2026年1月4日,日,6,11.2,1.2,東京
2026年1月5日,月,6.7,12.8,1.1,東京
2026年1月6日,火,6.3,11,3.1,東京
2026年1月7日,水,3.8,6.4,1.2,東京
2026年1月8日,木,4.7,11.3,-0.3,東京
2026年1月9日,金,6,10.3,1.7,東京
2026年1月10日,土,9.3,14.9,1.5,東京
2026年1月11日,日,11,16.1,4,東京
2026年1月12日,月,4.7,9.5,0,東京
2026年1月13日,火,8.3,16.1,0.2,東京
2026年1月14日,水,7.2,12,3.3,東京
2026年1月15日,木,8,12.5,1.7,東京
2026年1月16日,金,11.3,17.8,5,東京
2026年1月17日,土,9.7,15.3,5,東京
2026年1月18日,日,9.2,13.4,6.1,東京
2026年1月19日,月,8.7,13.9,5.2,東京
2026年1月20日,火,5.9,9.1,2.3,東京
2026年1月21日,水,3.6,7,1.8,東京
2026年1月22日,木,2.5,6.9,-0.2,東京
2026年1月23日,金,3.4,9.4,-2,東京
2026年1月24日,土,4.7,11,-1.3,東京
2026年1月25日,日,3.7,7.6,1.2,東京
2026年1月26日,月,4.2,8.6,-0.9,東京
2026年1月27日,火,5.4,10.1,2.3,東京
2026年1月28日,水,5.5,8.1,2,東京
2026年1月29日,木,4.8,10.4,1.1,東京
2026年1月30日,金,3.9,9.3,-0.5,東京
2026年1月31日,土,4.7,9.8,0.9,東京
2026年2月1日,日,5.5,11.1,-0.2,東京
2026年2月2日,月,6.4,12,2.7,東京
2026年2月3日,火,5.8,10.8,1.6,東京
2026年2月4日,水,6.3,11.4,1.6,東京
2026年2月5日,木,7.8,13.8,2.7,東京
2026年2月6日,金,9,16.1,2.6,東京
2026年2月7日,土,3.8,6.9,1.3,東京
2026年2月8日,日,-0.7,2,-2.5,東京
2026年2月9日,月,2.8,9.2,-3.2,東京
2026年2月10日,火,5.5,10.9,0.4,東京
2026年2月11日,水,6.1,10.5,2.7,東京
2026年2月12日,木,6.7,11.6,2.9,東京
2026年2月13日,金,7.1,12.6,1.8,東京
2026年2月14日,土,9.1,15.1,2.9,東京
2026年2月15日,日,11.9,18.4,6.1,東京
2026年2月16日,月,10.6,16.7,4.3,東京
2026年2月17日,火,5.8,9,3.1,東京
2026年2月18日,水,7.6,12.5,4.9,東京
2026年2月19日,木,5.5,11.1,2.1,東京
2026年2月20日,金,5.9,10.7,2,東京
2026年2月21日,土,8.8,15.7,2.5,東京
2026年2月22日,日,12,17.6,5,東京
2026年2月23日,月,17.2,22.9,12.2,東京
2026年2月24日,火,13.4,18.4,10.6,東京
2026年2月25日,水,9.3,12.2,5.8,東京
2026年2月26日,木,8.6,11.8,5.4,東京
2026年2月27日,金,11.8,16.8,7.1,東京
2026年2月28日,土,14.3,21.7,10.4,東京
2026年3月1日,日,12.7,19,8.3,東京
2026年3月2日,月,11.4,13.4,9.2,東京
2026年3月3日,火,7.4,11.4,4.6,東京
2026年3月4日,水,8.9,15.8,4.9,東京
2026年3月5日,木,10.1,17.1,6.1,東京
2026年3月6日,金,9.4,14.3,4.4,東京
2026年3月7日,土,11.6,17.4,7.7,東京
2026年3月8日,日,7.5,12.1,4.1,東京
2026年3月9日,月,8.1,13.6,4.2,東京
2026年3月10日,火,4.8,8.2,2,東京
2026年3月11日,水,6.6,11.9,1.5,東京
2026年3月12日,木,8.2,13.4,4.8,東京
2026年3月13日,金,7.4,10,4.1,東京
2026年3月14日,土,9.9,16,6,東京
2026年3月15日,日,10.8,15.8,5.3,東京
2026年3月16日,月,10.1,14.1,6.9,東京
2026年3月17日,火,11.2,16.1,8.3,東京
2026年3月18日,水,13.2,16.8,9.1,東京
2026年3月19日,木,14.8,19.8,10,東京
2026年3月20日,金,9.1,11.2,6.5,東京
2026年3月21日,土,10.6,17.1,4.3,東京
2026年3月22日,日,11.3,17.1,5.6,東京
2026年3月23日,月,12.2,17.5,9.8,東京
2026年3月24日,火,12.8,18.1,9.2,東京
2026年3月25日,水,11.8,14.4,11,東京
2026年3月26日,木,11.7,13.4,10.7,東京
2026年3月27日,金,13.4,18.9,9.7,東京
2026年3月28日,土,13.9,19.6,9.6,東京
2026年3月29日,日,15.9,21.8,10.4,東京
2026年3月30日,月,16.2,20.7,12,東京
2026年3月31日,火,16.9,19,14.9,東京
2026年4月1日,水,14,17.6,10.5,東京
2026年4月2日,木,11.6,17.5,8.6,東京
2026年4月3日,金,14.6,20.7,8,東京
2026年4月4日,土,14.8,17.5,12.1,東京
2026年4月5日,日,18.3,22.7,13.7,東京
2026年4月6日,月,18.7,23.7,14.9,東京
2026年4月7日,火,15.7,19.6,8.6,東京
2026年4月8日,水,12.9,19.2,7.6,東京
2026年4月9日,木,15.8,20.3,9.5,東京
2026年4月10日,金,18.3,19.8,16.1,東京
2026年4月11日,土,19.9,27.3,14.1,東京
2026年4月12日,日,18.2,23.6,14.2,東京
2026年4月13日,月,18.5,24.1,13.1,東京
2026年4月14日,火,18.6,24.6,15.5,東京
2026年4月15日,水,18.2,23.7,14.5,東京
2026年4月16日,木,15.8,23.5,10.6,東京
2026年4月17日,金,13.9,19.2,8.8,東京
2026年4月18日,土,16.9,22.2,12.3,東京
2026年4月19日,日,19,25.6,13.8,東京
2026年4月20日,月,19,24.7,14.4,東京
2026年4月21日,火,19.3,25,14.4,東京
2026年4月22日,水,17.7,23.3,11.1,東京
2026年4月23日,木,15.3,18.6,12.6,東京
2026年4月24日,金,14.9,19.9,11.6,東京
2026年4月25日,土,14.8,19.1,11,東京
2026年4月26日,日,16.7,22.3,10.3,東京
2026年4月27日,月,15.4,21.3,12.5,東京
2026年4月28日,火,19.1,24.3,12,東京
2026年4月29日,水,17,20.2,13.6,東京
2026年4月30日,木,14.1,16,11,東京
2026年5月1日,金,14.1,20.1,10.8,東京
2026年5月2日,土,20,27.5,11.6,東京
2026年5月3日,日,19.8,25.8,15.9,東京
2026年5月4日,月,22.3,28.4,16,東京
2026年5月5日,火,17.5,23.7,13.2,東京
2026年5月6日,水,17.9,21.7,14.9,東京
2026年5月7日,木,20.8,26.2,16.1,東京
2026年5月8日,金,22,25.2,17.6,東京
2026年5月9日,土,19.6,23.7,15.9,東京
2026年5月10日,日,19.1,24.8,14.3,東京
2026年5月11日,月,20.2,25.5,16.2,東京
2026年5月12日,火,20.3,25.6,16.3,東京
2026年5月13日,水,20,27.1,15.6,東京
2026年5月14日,木,18.7,25.6,13.6,東京
2026年5月15日,金,17.6,24,13.2,東京
2026年5月16日,土,20.3,27,14.9,東京
2026年5月17日,日,22.5,30.2,15.7,東京
2026年5月18日,月,22.9,29.3,16.9,東京
2026年5月19日,火,23.1,28.6,18.7,東京
2026年5月20日,水,24.1,29.7,19.3,東京
2026年5月21日,木,18.6,22.7,15.3,東京
2026年5月22日,金,14,15.6,12.4,東京
2026年5月23日,土,14.6,18.9,12,東京
2026年5月24日,日,18.3,24.3,13.8,東京
2026年5月25日,月,21.2,27,16.2,東京
2026年5月26日,火,22.1,26.8,17.9,東京
2026年5月27日,水,23.4,27.9,19.5,東京
2026年5月28日,木,24.1,27.1,20.7,東京
2026年5月29日,金,25.9,31.6,21.8,東京
2026年5月30日,土,24,29.5,18.9,東京
2026年5月31日,日,24.4,30,20.5,東京
2024年1月1日,月,18.3,21.2,16,那覇
2024年1月2日,火,17.9,21.8,13.6,那覇
2024年1月3日,水,17.8,22.4,14.4,那覇
2024年1月4日,木,17.4,19.5,15.4,那覇
2024年1月5日,金,18.1,21.2,15.1,那覇
2024年1月6日,土,18.2,22.5,14.2,那覇
2024年1月7日,日,18.2,20.3,15.7,那覇
2024年1月8日,月,17.1,20.8,12.9,那覇
2024年1月9日,火,17.5,19,15.7,那覇
2024年1月10日,水,18.3,21,15.6,那覇
2024年1月11日,木,16.1,17.6,14.8,那覇
2024年1月12日,金,16,19.6,12.8,那覇
2024年1月13日,土,16.5,20.1,12.2,那覇
2024年1月14日,日,17.7,22,13.4,那覇
2024年1月15日,月,17.7,22.2,14.2,那覇
2024年1月16日,火,17.7,19.8,15.3,那覇
2024年1月17日,水,20.4,22.9,18,那覇
2024年1月18日,木,21.8,24.5,20,那覇
2024年1月19日,金,22.6,25.6,20.8,那覇
2024年1月20日,土,22.7,26.3,20.8,那覇
2024年1月21日,日,19.7,22.2,19,那覇
2024年1月22日,月,17.7,19.8,14.5,那覇
2024年1月23日,火,13.2,14.9,12,那覇
2024年1月24日,水,13.3,14.5,12.4,那覇
2024年1月25日,木,15.2,17.5,13.1,那覇
2024年1月26日,金,16.1,17.8,15.1,那覇
2024年1月27日,土,16.2,18.1,14.3,那覇
2024年1月28日,日,16.2,18.2,13.8,那覇
2024年1月29日,月,16.3,20.2,12.6,那覇
2024年1月30日,火,19.4,21.7,15.8,那覇
2024年1月31日,水,22.1,25.2,20.1,那覇
2024年2月1日,木,21.8,25.1,18.6,那覇
2024年2月2日,金,21.8,25.4,18.8,那覇
2024年2月3日,土,21.6,25.7,18.5,那覇
2024年2月4日,日,22,24.8,19.5,那覇
2024年2月5日,月,19.3,23,16.4,那覇
2024年2月6日,火,17.6,19.3,16.4,那覇
2024年2月7日,水,17.5,21.4,15.8,那覇
2024年2月8日,木,16.7,19.1,15.6,那覇
2024年2月9日,金,15.8,17,14.6,那覇
2024年2月10日,土,16,18,15.1,那覇
2024年2月11日,日,16.3,18.5,14.7,那覇
2024年2月12日,月,17.1,20.2,15,那覇
2024年2月13日,火,19.9,23.3,16.9,那覇
2024年2月14日,水,21.3,23.7,19.7,那覇
2024年2月15日,木,22.1,25.5,19.3,那覇
2024年2月16日,金,19.4,21.6,17.6,那覇
2024年2月17日,土,19.3,22.6,17.1,那覇
2024年2月18日,日,21.1,24.5,17.6,那覇
2024年2月19日,月,23,25.7,21.4,那覇
2024年2月20日,火,23.1,25.8,21.8,那覇
2024年2月21日,水,23,26.5,21.1,那覇
2024年2月22日,木,23,26.7,20.9,那覇
2024年2月23日,金,20.6,23.8,18.2,那覇
2024年2月24日,土,20.2,22.7,19.3,那覇
2024年2月25日,日,16.8,19.6,15.3,那覇
2024年2月26日,月,17.8,19.6,16.3,那覇
2024年2月27日,火,18,20.3,16.5,那覇
2024年2月28日,水,20.4,23.9,17.6,那覇
2024年2月29日,木,22,25,19.7,那覇
2024年3月1日,金,17.6,20.4,14.3,那覇
2024年3月2日,土,14.4,17,12.9,那覇
2024年3月3日,日,16,19.1,12.9,那覇
2024年3月4日,月,20.6,23.6,17.5,那覇
2024年3月5日,火,23.4,25.2,22.1,那覇
2024年3月6日,水,21.2,23.5,18.8,那覇
2024年3月7日,木,17.9,20.1,15.9,那覇
2024年3月8日,金,16.5,17.9,15.6,那覇
2024年3月9日,土,16.4,18.9,15.1,那覇
2024年3月10日,日,17,20.3,13.9,那覇
2024年3月11日,月,19.2,22.5,15.3,那覇
2024年3月12日,火,19,20.9,17.8,那覇
2024年3月13日,水,17.2,20.2,15.6,那覇
2024年3月14日,木,18.4,21.6,15.6,那覇
2024年3月15日,金,19.6,23,16,那覇
2024年3月16日,土,20.7,23.5,18.8,那覇
2024年3月17日,日,21.6,24.6,19.3,那覇
2024年3月18日,月,20,22.1,18.9,那覇
2024年3月19日,火,19,20.3,17.6,那覇
2024年3月20日,水,16.7,18.7,15.2,那覇
2024年3月21日,木,16.3,19.7,14.7,那覇
2024年3月22日,金,18.8,22.4,14,那覇
2024年3月23日,土,22.1,25.2,20.1,那覇
2024年3月24日,日,23.4,26.6,21.2,那覇
2024年3月25日,月,23.8,26.6,22.2,那覇
2024年3月26日,火,20.8,25.2,18.2,那覇
2024年3月27日,水,19.7,22.9,17.5,那覇
2024年3月28日,木,21.3,24.9,17.8,那覇
2024年3月29日,金,21.9,24.9,19.7,那覇
2024年3月30日,土,21.6,24.4,19.4,那覇
2024年3月31日,日,22,24.6,20.2,那覇
2024年4月1日,月,22.7,27,19.5,那覇
2024年4月2日,火,23.8,26.9,21.5,那覇
2024年4月3日,水,24.9,27.6,23.8,那覇
2024年4月4日,木,25,27.8,23.7,那覇
2024年4月5日,金,24,27.3,22.1,那覇
2024年4月6日,土,22.4,24.2,21.6,那覇
2024年4月7日,日,22.3,23.7,21.2,那覇
2024年4月8日,月,22.2,24.7,20.1,那覇
2024年4月9日,火,21.7,23.8,19.9,那覇
2024年4月10日,水,21.9,24.9,19.6,那覇
2024年4月11日,木,22.4,25.9,20.1,那覇
2024年4月12日,金,22.2,26.2,19.5,那覇
2024年4月13日,土,23.9,27,21,那覇
2024年4月14日,日,24.6,27.1,23.4,那覇
2024年4月15日,月,23.1,24.9,21.4,那覇
2024年4月16日,火,23.9,27.5,21.2,那覇
2024年4月17日,水,25.6,29.2,22.5,那覇
2024年4月18日,木,23.6,25.5,21.5,那覇
2024年4月19日,金,22.4,25.2,19.2,那覇
2024年4月20日,土,23.9,26.6,21.5,那覇
2024年4月21日,日,26.3,29.6,24.1,那覇
2024年4月22日,月,26.3,29.7,24.8,那覇
2024年4月23日,火,26.2,28,24.3,那覇
2024年4月24日,水,22.6,25.9,19.5,那覇
2024年4月25日,木,22,24.5,19.5,那覇
2024年4月26日,金,24.4,27.3,22.9,那覇
2024年4月27日,土,26,30.1,23,那覇
2024年4月28日,日,26.3,29.2,24.4,那覇
2024年4月29日,月,25.1,27.8,22.9,那覇
2024年4月30日,火,26.4,29.6,23.7,那覇
2024年5月1日,水,24.7,26.8,22.8,那覇
2024年5月2日,木,22.2,23,21.2,那覇
2024年5月3日,金,23.5,27.6,20.4,那覇
2024年5月4日,土,25,28.8,22.4,那覇
2024年5月5日,日,25.7,28.8,23.3,那覇
2024年5月6日,月,26.1,29.9,23.5,那覇
2024年5月7日,火,24.9,27.1,23.6,那覇
2024年5月8日,水,23.9,27,21.6,那覇
2024年5月9日,木,22.2,24.9,20.5,那覇
2024年5月10日,金,23.1,26.9,19.1,那覇
2024年5月11日,土,24.7,27.2,22.2,那覇
2024年5月12日,日,26.4,29.4,24.2,那覇
2024年5月13日,月,23,26,21.2,那覇
2024年5月14日,火,22.3,25.3,18.2,那覇
2024年5月15日,水,23.3,26.8,18.4,那覇
2024年5月16日,木,22.9,25.4,21.3,那覇
2024年5月17日,金,23.3,26.3,20.7,那覇
2024年5月18日,土,24.3,26.4,23.1,那覇
2024年5月19日,日,25.3,28.7,22.8,那覇
2024年5月20日,月,25.1,28,23.2,那覇
2024年5月21日,火,23.7,24.5,23,那覇
2024年5月22日,水,25.1,26.6,24,那覇
2024年5月23日,木,26.4,28.3,25.2,那覇
2024年5月24日,金,25.1,28,23.7,那覇
2024年5月25日,土,25.9,29,23.8,那覇
2024年5月26日,日,27.1,29.9,25.5,那覇
2024年5月27日,月,27.6,30.7,25.6,那覇
2024年5月28日,火,25.6,27.8,22.8,那覇
2024年5月29日,水,24.4,27,22.7,那覇
2024年5月30日,木,25.9,28.7,24.3,那覇
2024年5月31日,金,26.9,29.2,25.1,那覇
2024年6月1日,土,24.9,26.3,22.4,那覇
2024年6月2日,日,21.6,23.4,19.6,那覇
2024年6月3日,月,21.8,25.5,18.1,那覇
2024年6月4日,火,24.5,27.6,21.9,那覇
2024年6月5日,水,24.7,27.8,22,那覇
2024年6月6日,木,23.2,25.3,21.9,那覇
2024年6月7日,金,24.3,26.6,22.3,那覇
2024年6月8日,土,26.2,28.4,24.1,那覇
2024年6月9日,日,25.7,28.1,23.4,那覇
2024年6月10日,月,25.1,28,23.8,那覇
2024年6月11日,火,25.2,26.6,24.1,那覇
2024年6月12日,水,26.1,27.8,23.9,那覇
2024年6月13日,木,26.3,29.4,23.9,那覇
2024年6月14日,金,25.7,27.3,24.3,那覇
2024年6月15日,土,27.3,29.6,25.1,那覇
2024年6月16日,日,27.8,30.8,25.4,那覇
2024年6月17日,月,27.8,29.9,26.9,那覇
2024年6月18日,火,25.6,27.7,23.8,那覇
2024年6月19日,水,27.7,30.4,24.9,那覇
2024年6月20日,木,28.8,31.5,27.4,那覇
2024年6月21日,金,29,31.4,27.4,那覇
2024年6月22日,土,29.5,32.1,27.8,那覇
2024年6月23日,日,29.3,32,28,那覇
2024年6月24日,月,29.5,32.4,27.9,那覇
2024年6月25日,火,29.6,32.6,27.7,那覇
2024年6月26日,水,29.9,33.6,27.9,那覇
2024年6月27日,木,29.7,32.9,27.6,那覇
2024年6月28日,金,29.6,32.4,27.8,那覇
2024年6月29日,土,30,33.3,28,那覇
2024年6月30日,日,30,32.9,28.4,那覇
2024年7月1日,月,30.2,33.2,28.3,那覇
2024年7月2日,火,30.5,33.9,28.3,那覇
2024年7月3日,水,30.8,34.5,28.6,那覇
2024年7月4日,木,30.5,34.4,28.3,那覇
2024年7月5日,金,30.8,35,28.4,那覇
2024年7月6日,土,30.8,34.7,27.7,那覇
2024年7月7日,日,30.6,34.3,28.7,那覇
2024年7月8日,月,31,35,28.2,那覇
2024年7月9日,火,30.1,33.6,27.5,那覇
2024年7月10日,水,30.6,33.6,28.8,那覇
2024年7月11日,木,30.6,33.7,29.1,那覇
2024年7月12日,金,30.8,33.2,29.3,那覇
2024年7月13日,土,31.2,35.4,28.9,那覇
2024年7月14日,日,31.5,35,29.2,那覇
2024年7月15日,月,31.4,35.5,29.1,那覇
2024年7月16日,火,30.3,34.8,28.4,那覇
2024年7月17日,水,30.9,34.5,28.4,那覇
2024年7月18日,木,31.1,34.9,29.3,那覇
2024年7月19日,金,31.5,36,29.1,那覇
2024年7月20日,土,31.5,35.5,28.7,那覇
2024年7月21日,日,31.5,35.4,29.2,那覇
2024年7月22日,月,30.8,34.2,28.1,那覇
2024年7月23日,火,29.5,32.3,26.4,那覇
2024年7月24日,水,29.2,32.5,26,那覇
2024年7月25日,木,28.3,30,26.4,那覇
2024年7月26日,金,28.1,29.7,25.6,那覇
2024年7月27日,土,29.9,32.4,28.2,那覇
2024年7月28日,日,30.1,32.7,28.8,那覇
2024年7月29日,月,30.1,33.2,26.9,那覇
2024年7月30日,火,29.8,32.9,28,那覇
2024年7月31日,水,30.3,33.4,28.2,那覇
2024年8月1日,木,30.4,33.2,28.9,那覇
2024年8月2日,金,30.5,33.3,29.1,那覇
2024年8月3日,土,30.7,32.8,29.2,那覇
2024年8月4日,日,30.9,33.4,29.2,那覇
2024年8月5日,月,30.7,33,29.4,那覇
2024年8月6日,火,30.2,33.3,26.8,那覇
2024年8月7日,水,30.7,33.6,28.4,那覇
2024年8月8日,木,30.7,34.3,29.2,那覇
2024年8月9日,金,30.5,33.5,28.6,那覇
2024年8月10日,土,30.1,33.4,26.7,那覇
2024年8月11日,日,30.4,33.2,27.3,那覇
2024年8月12日,月,30.6,32.9,29,那覇
2024年8月13日,火,30.5,32.7,28.8,那覇
2024年8月14日,水,30.1,32.6,28.8,那覇
2024年8月15日,木,30.2,33.2,28,那覇
2024年8月16日,金,30,32.6,26.7,那覇
2024年8月17日,土,29.8,34.1,27.8,那覇
2024年8月18日,日,30,33.4,27.5,那覇
2024年8月19日,月,29.2,31.4,26.7,那覇
2024年8月20日,火,30.2,32.9,27.8,那覇
2024年8月21日,水,30.2,32.9,29.1,那覇
2024年8月22日,木,30.3,32.7,29.1,那覇
2024年8月23日,金,29.9,31.5,28.4,那覇
2024年8月24日,土,28.6,29.8,25.3,那覇
2024年8月25日,日,29.7,33,27.3,那覇
2024年8月26日,月,29.5,32.2,26.7,那覇
2024年8月27日,火,30.3,32.6,28.9,那覇
2024年8月28日,水,30.2,31.9,28.9,那覇
2024年8月29日,木,29.9,31.7,28.6,那覇
2024年8月30日,金,30.3,32.7,29,那覇
2024年8月31日,土,30,32.4,28.5,那覇
2024年9月1日,日,29.8,32.6,27.5,那覇
2024年9月2日,月,30,33.2,27.1,那覇
2024年9月3日,火,29.1,32.2,26.9,那覇
2024年9月4日,水,28.8,32,27,那覇
